	0.5	0.6	0.8	1	2	3	4	5	6	10
10	0.18	0.14	0.1	0.07	0.04	0.035	0.03	0.025	0.025	0.025
20	0.33	0.26	0.19	0.16	0.09	0.07	0.06	0.055	0.05	0.05
30	0.45	0.37	0.26	0.2	0.12	0.09	0.08	0.075	0.07	0.07
40	0.55	0.44	0.32	0.26	0.15	0.12	0.1	0.08	0.075	0.075
50	0.62	0.51	0.35	0.29	0.17	0.14	0.12	0.1	0.09	0.09
60	0.71	0.56	0.4	0.33	0.19	0.15	0.13	0.115	0.1	0.1
90	0.86	0.68	0.49	0.39	0.24	0.19	0.16	0.14	0.12	0.12
120	0.96	0.72	0.52	0.43	0.26	0.21	0.18	0.15	0.14	0.14
150	1.03	0.82	0.58	0.46	0.29	0.24	0.2	0.175	0.16	0.16
180	1.1	0.86	0.62	0.5	0.31	0.25	0.22	0.18	0.17	0.17
